id,product,review,rating,category
1,laptop pro 15,this laptop is absolutely amazing! the performance is incredible and battery life exceeds expectations.,5,1
2,wireless mouse,the mouse is comfortable but the battery drains way too quickly. disappointed.,2,1
3,coffee maker deluxe,best coffee maker i have ever owned. makes perfect coffee every single time!,5,0
4,running shoes ultra,these shoes are very comfortable for long distance running. great cushioning.,4,3
5,smartphone x12,the phone has excellent camera quality but the price is ridiculously high.,3,1
6,ergonomic desk chair,good design but assembly instructions were confusing and unclear.,3,2
7,noise cancelling headphones,amazing sound quality! the noise cancellation works perfectly in any environment.,5,1
8,professional blender,not worth the money at all. broke after only two weeks of regular use.,1,0
9,premium yoga mat,great quality mat with excellent grip. perfect for my daily yoga practice.,5,3
10,compact tablet,screen is too small and battery life is very disappointing. not recommended.,2,1
